id	text	en	loc
10000	English	English
10001	Default	Default
11000	과제 다 끝난 것 같아.	I think I'm done with the assignment.	DefineActors.dinky
11001	지금까지 한 거 한번 보실래요?	Want to take a look at my work so far?	DefineActors.dinky
11002	보안관이 마지막으로 위험한 일을 한 건 거울 봤을 때였어.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	보안관 혼자 나온 사진으론 나탈리한테 안 통해.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	검시관 혼자 나온 사진으론 나탈리한테 안 통해.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	나탈리는 훨씬 더 유명한 사람을 원할 것 같아, 잘난 척하는 음식 평론가들이나 그 사람을 유명인이라고 생각하지.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	죄송해요, 지금 너무 바빠서요. 분류 작업이 밀렸어요.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	멈출 시간도 없어요, 이 필로우베어™ 주문들 때문에요!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	우체부 일은 끝이 없죠, 멈출 수가 없어요.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	이 필로우베어™ 주문들 계속 분류해야 해요, 멈출 수가 없어요.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	지금은 도와드릴 수가 없어요.	Can't help you now.	DefineActors.dinky
11011	너무 바빠서 편지를 받을 수가 없어요. 그냥 우편 투입구를 이용하세요.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	너무 바빠서 편지를 받을 수가 없어요. 우표 붙이는 거 잊지 마세요!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	지금 너무 바빠요, 그리고 우표는 환불 안 돼요.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	제 여동생은 자기가 유명인이라고 생각할지 몰라도, 다른 사람들은 안 그래요.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	동전 형태로는 예금을 받지 않습니다.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	당신의 동정 어린 5센트는 필요 없고 원하지도 않아요.	I don't want or need your pity nickel.	DefineActors.dinky
11017	나한테 얘기하라고 했잖아, 그 뭐시기 말고.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	걔한테 얘기하고 싶으면, 나한테 해!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	5센트로는 좋은 장난감 못 사요. 장난감 갖고 싶어요!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
