text_id	de
10000	>
10001	>
10002	>
10003	>
20000	대화 대사 시작
20001	레이 요원! 여기 좀 상황이 생겼는데요.
20002	*한숨* 그럴 줄 알았다, 신참.
20003	나갈 방법은 좀 찾았어?
20004	대체 무슨 일이야?
20005	괜찮아?
20006	널 팬 놈 얼굴 봤어?
20007	네 동전 갖고 있어.
20008	하수구는 좀 둘러봤어?
20009	내가 뭐 도와줄 거 있어?
20010	거기 냄새는 좀 어때?
20011	쥐 상황은 어때?
20012	패닉하지 마, 레예스.
20013	다시 올게.
20014	내 사건 망치기만 해봐, 레예스!
20015	안 그래요! 맹세해요!
20016	다이너 뒤 골목에서 단서 찾고 있었는데, 완전 요원 프로토콜대로 하고 있었는데, 갑자기 습격당했어요!
20017	완전히 기절시켰다고요!
20018	사건 수사 못 할 정도로 다친 데는 없고?
20019	그런 것 같진 않아요.
20020	젠장.
20021	과다출혈로 죽어가고 있거나 그런 건 아니지?
20022	어드벤처 게임에서 플레이 캐릭터는 안 죽는 거 아니었어요?
20023	그건 누가 만들었느냐에 따라 다른데, 안타깝게도 넌 괜찮을 것 같다.
20024	아뇨, 뒤에서 쳤어서 얼굴은 전혀 못 봤어요.
20025	남자가 아니었을 수도 있고요.
20026	좋은 지적이네, 여자애 하나면 네 그 삐쩍 마른 엉덩이 충분히 눕히겠다.
20027	저기요!
20028	그럼 성별도, 나이도, 인종도, 키도, 몸무게도 모르는 용의자를 찾고 있는 거네.
20029	역시 잘하네, 레예스 요원.
20030	아직 제대로 안 둘러봤는데, 제 할 일 목록 맨 위에 있어요.
20031	*한숨*
20032	대체 어떻게 요원이 된 거야?
20033	제발 레예스, 가서 나갈 길이나 찾아봐!
20034	네, 좀 둘러봤어요.
20035	출구는 안 보이는데, 여기 전화기가 하나 있어요.
20036	잘됐네! 누구한테 전화는 했어?
20037	못 해요. 공중전화인데 동전이 하나도 없어요.
20038	게다가 휴대폰도 여기선 안 터져요!
20039	그 맨홀 뚜껑을 못 열면, 동전이라도 좀 찾아봐 줄 수 있어요?
20040	이 공중전화는 다른 건 안 받고, 도와줄 사람한테 전화해야 할 것 같아요.
20041	바로 알아볼게.
